Left Reaction	Right Reaction	FOS Comp.	FOS Tens.
245.49	154.51	1.09	4.58
245.44	154.56	1.09	4.59
245.39	154.61	1.09	4.58
245.34	154.66	1.09	4.58
245.29	154.71	1.09	4.58
245.24	154.76	1.09	4.58
245.19	154.81	1.09	4.58
245.14	154.86	1.09	4.58
245.09	154.91	1.09	4.57
245.04	154.96	1.09	4.57
245.00	155.00	1.09	4.57
244.95	155.05	1.09	4.57
244.90	155.10	1.09	4.57
244.85	155.15	1.09	4.57
244.80	155.20	1.09	4.56
244.75	155.25	1.08	4.56
244.70	155.30	1.08	4.56
244.65	155.35	1.08	4.56
244.60	155.40	1.08	4.56
244.55	155.45	1.08	4.55
244.50	155.50	1.08	4.55
244.45	155.55	1.08	4.55
244.40	155.60	1.08	4.55
244.35	155.65	1.08	4.54
244.30	155.70	1.08	4.55
244.25	155.75	1.08	4.54
244.20	155.80	1.08	4.54
244.15	155.85	1.08	4.54
244.10	155.90	1.08	4.54
244.05	155.95	1.08	4.53
244.00	156.00	1.08	4.54
243.95	156.05	1.08	4.53
243.90	156.10	1.08	4.53
243.85	156.15	1.08	4.53
243.80	156.20	1.08	4.53
243.75	156.25	1.08	4.52
243.70	156.30	1.08	4.53
243.65	156.35	1.08	4.52
243.60	156.40	1.08	4.52
243.55	156.45	1.07	4.52
243.50	156.50	1.07	4.52
243.45	156.55	1.07	4.51
243.40	156.60	1.07	4.52
243.35	156.65	1.07	4.51
243.30	156.70	1.07	4.51
243.25	156.75	1.07	4.51
243.20	156.80	1.07	4.50
243.15	156.85	1.07	4.50
243.10	156.90	1.07	4.50
243.05	156.95	1.07	4.50
243.00	157.00	1.07	4.50
242.96	157.04	1.07	4.50
242.91	157.09	1.07	4.49
242.86	157.14	1.07	4.49
242.81	157.19	1.07	4.49
242.76	157.24	1.07	4.49
242.71	157.29	1.07	4.49
242.66	157.34	1.07	4.49
242.61	157.39	1.07	4.48
242.56	157.44	1.07	4.48
242.51	157.49	1.07	4.48
242.46	157.54	1.07	4.48
242.41	157.59	1.07	4.48
242.36	157.64	1.06	4.48
242.31	157.69	1.06	4.47
242.26	157.74	1.06	4.47
242.21	157.79	1.06	4.47
242.16	157.84	1.06	4.47
242.11	157.89	1.06	4.47
242.06	157.94	1.06	4.47
242.01	157.99	1.06	4.46
241.96	158.04	1.06	4.46
241.91	158.09	1.06	4.46
241.86	158.14	1.06	4.46
241.81	158.19	1.06	4.46
241.76	158.24	1.06	4.46
241.71	158.29	1.06	4.45
241.66	158.34	1.06	4.45
241.61	158.39	1.06	4.45
241.56	158.44	1.06	4.45
241.51	158.49	1.06	4.45
241.46	158.54	1.06	4.45
241.41	158.59	1.06	4.44
241.36	158.64	1.06	4.44
241.31	158.69	1.06	4.44
241.26	158.74	1.06	4.44
241.21	158.79	1.06	4.44
241.16	158.84	1.05	4.44
241.11	158.89	1.05	4.43
241.06	158.94	1.05	4.43
241.01	158.99	1.05	4.43
240.97	159.03	1.05	4.43
240.92	159.08	1.05	4.43
240.87	159.13	1.05	4.43
240.82	159.18	1.05	4.42
240.77	159.23	1.05	4.42
240.72	159.28	1.05	4.42
240.67	159.33	1.05	4.42
240.62	159.38	1.05	4.42
240.57	159.43	1.05	4.42
240.52	159.48	1.05	4.41
240.47	159.53	1.05	4.41
240.42	159.58	1.05	4.41
240.37	159.63	1.05	4.41
240.32	159.68	1.05	4.41
240.27	159.73	1.05	4.41
240.22	159.78	1.05	4.40
240.17	159.83	1.05	4.40
240.12	159.88	1.05	4.40
240.07	159.93	1.05	4.40
240.02	159.98	1.05	4.40
239.97	160.03	1.05	4.40
239.92	160.08	1.04	4.39
239.87	160.13	1.04	4.39
239.82	160.18	1.04	4.39
239.77	160.23	1.04	4.39
239.72	160.28	1.04	4.39
239.67	160.33	1.04	4.39
239.62	160.38	1.04	4.38
239.57	160.43	1.04	4.38
239.52	160.48	1.04	4.38
239.47	160.53	1.04	4.38
239.42	160.58	1.04	4.38
239.37	160.63	1.04	4.38
239.32	160.68	1.04	4.37
239.27	160.73	1.04	4.37
239.22	160.78	1.04	4.37
239.17	160.83	1.04	4.37
239.12	160.88	1.04	4.37
239.07	160.93	1.04	4.37
239.02	160.98	1.04	4.36
238.98	161.02	1.04	4.36
238.93	161.07	1.04	4.36
238.88	161.12	1.04	4.36
238.83	161.17	1.04	4.36
238.78	161.22	1.04	4.36
238.73	161.27	1.04	4.35
238.68	161.32	1.03	4.35
238.63	161.37	1.03	4.35
238.58	161.42	1.03	4.35
238.53	161.47	1.03	4.35
238.48	161.52	1.03	4.34
238.43	161.57	1.03	4.34
238.38	161.62	1.03	4.34
238.33	161.67	1.03	4.34
238.28	161.72	1.03	4.34
238.23	161.77	1.03	4.33
238.18	161.82	1.03	4.33
238.13	161.87	1.03	4.33
238.08	161.92	1.03	4.32
238.03	161.97	1.03	4.33
237.98	162.02	1.03	4.32
237.93	162.07	1.03	4.32
237.88	162.12	1.03	4.32
237.83	162.17	1.03	4.31
237.78	162.22	1.03	4.31
237.73	162.27	1.03	4.31
237.68	162.32	1.03	4.31
237.63	162.37	1.02	4.31
237.58	162.42	1.02	4.31
237.53	162.47	1.02	4.30
237.48	162.52	1.02	4.30
237.43	162.57	1.02	4.30
237.38	162.62	1.02	4.30
237.33	162.67	1.02	4.30
237.28	162.72	1.02	4.29
237.23	162.77	1.02	4.29
237.18	162.82	1.02	4.29
237.13	162.87	1.02	4.29
237.08	162.92	1.02	4.29
